symbol,market,status,note,entry_date,entry_price
65690,KR,signal,technical 2026-07-22,2026-07-22,1417.0
AGM-PD,US,signal,technical 2026-07-22,2026-07-22,21.66
VOYA-PB,US,signal,technical 2026-07-22,2026-07-22,23.77
12690,KR,signal,technical 2026-07-22,2026-07-22,1659.0
SDF.F,EU,signal,technical 2026-07-22,2026-07-22,
362320,KR,signal,technical 2026-07-22,2026-07-22,4750.0
1811,JP,signal,technical 2026-07-22,2026-07-22,8210.0
SMJF,US,signal,technical 2026-07-22,2026-07-22,5.53
HVII,US,signal,technical 2026-07-22,2026-07-22,10.475
KCHV,US,signal,technical 2026-07-22,2026-07-22,
FACT,US,signal,technical 2026-07-22,2026-07-22,10.64
6138,JP,signal,technical 2026-07-22,2026-07-22,1216.0
ANSC,US,signal,technical 2026-07-22,2026-07-22,
4249,JP,signal,technical 2026-07-22,2026-07-22,2546.0
HELP,US,signal,recurring x2 +13.9% since 2026-07-21,2026-07-21,8.1
IOVA,US,signal,recurring x2 +9.2% since 2026-07-21,2026-07-21,5.48
XNCR,US,signal,recurring x2 +8.7% since 2026-07-21,2026-07-21,20.45
