market,h,ret,excess,rsi_evict
IN,63,-0.313043478260866,-1.1011799121073196,46.8
IN,21,1.8453706649697699,2.62402267164884,37.9
IN,63,-17.562838052815778,-10.339670137364033,37.9
IN,21,-2.4019270474879617,1.8297970106775034,33.7
IN,63,22.236751548520296,25.212107340884327,33.7
IN,21,3.058944835882449,1.810948761274478,41.6
IN,63,12.252964426877465,13.075688561219266,41.6
IN,21,-4.912608179195644,-3.6090844026285156,38.3
IN,63,-1.9429832004072556,2.5613597644638664,38.3
IN,21,1.401661698484169,2.1803137051632393,51.4
IN,63,10.940572080928511,18.13072333015799,51.4
IN,21,2.1055354371443347,2.5392541586114814,46.4
IN,63,9.143817899637874,10.923678083621036,46.4
IN,21,-6.5167617810887535,-1.6034262906140073,44.1
IN,63,0.2562963469227242,6.679156749788939,44.1
IN,21,1.7586502716614216,1.218172572161258,42.6
IN,63,31.527023162710897,33.45240645696418,42.6
IN,21,31.112417685794913,31.112417685794913,9.9
IN,63,40.888993414863606,43.56514590262543,9.9
IN,21,18.633093525179856,20.555416203167066,38.5
IN,63,36.235011990407685,39.44717194694586,38.5
IN,21,5.154482075507638,6.57334347011923,29.8
IN,63,18.400700979084927,21.753937664226243,29.8
IN,21,11.323524015704688,14.854519357168405,35.8
IN,63,37.001431035115395,41.15510381933666,35.8
IN,21,6.542346542346555,10.609535144568493,39.4
IN,63,0.20202020202020332,8.073891731051429,39.4
IN,21,4.641573271304722,3.801425922532875,32.0
IN,63,22.050116303658275,23.737647191768176,32.0
IN,21,9.043027651531222,10.619703420050541,43.7
IN,63,11.213524189780411,14.5419975180485,43.7
IN,21,-3.1216529376253632,-3.96180028639721,42.5
IN,63,5.12940351697142,6.816934405081321,42.5
IN,21,3.084770463930031,4.856819428909864,42.9
IN,63,8.357467162422205,13.272663439059052,42.9
IN,21,0.11448775149422996,-0.725659597277617,40.7
IN,63,2.038892162639949,3.7264230507498497,40.7
IN,21,1.4536514536514389,2.356208639908497,42.0
IN,63,-17.12701712701713,-9.274199369958302,42.0
IN,21,-13.767395626242552,-8.854060135767806,5.8
IN,63,-6.805595001420062,-0.22387760464375184,5.8
IN,21,4.820799255269637,6.59284822024947,37.5
IN,63,3.4144557483875237,8.32965202502437,37.5
IN,21,-8.545208364675794,-8.111489643208648,35.6
IN,63,-0.2858432375507758,3.1610355340053076,35.6
IN,21,0.8809494677596952,2.2998108623712876,33.2
IN,63,-10.95986785757983,-4.8472148480276145,33.2
IN,21,-6.5857829692491325,-4.427371507749301,33.6
IN,63,4.940143912748862,8.319735839588505,33.6
IN,21,1.182323675738961,3.2323576989201075,47.8
IN,63,3.687445127304656,10.619724008310548,47.8
IN,21,-0.32843067256889125,-0.2031487883293548,45.6
IN,63,6.775667571041,9.504964476017486,45.6
IN,21,3.169492738069679,4.072049924326738,39.8
IN,63,-2.1750017886527973,5.677815968406031,39.8
IN,21,2.1862534519791366,2.1862534519791366,44.0
IN,63,-9.795949677815264,-7.1197971900534345,44.0
IN,21,12.135609598969243,14.823870924754244,34.8
IN,63,14.366242551135455,18.770707569335432,34.8
IN,21,-1.0088111352317686,0.8825595231238714,40.4
IN,63,-10.266888009194219,-7.003626930781458,40.4
IN,21,2.881054537742478,3.3147732592096246,41.9
IN,63,24.49222637323196,27.939105144788044,41.9
IN,21,-4.270094689952863,-2.7439384646037452,50.9
IN,63,-21.155751617655927,-15.228514599997778,50.9
IN,21,40.72841198355199,41.81571668233238,36.6
IN,63,57.07851967887214,66.75709046044992,36.6
IN,21,12.320589356026934,13.013422951137388,44.5
IN,63,21.300647783564088,24.51280774010226,44.5
IN,21,12.362586174771728,13.742760390330378,34.2
IN,63,26.830631637786475,31.545523454508707,34.2
IN,21,0.8428742010254897,0.8428742010254897,47.7
IN,63,-6.426915782819409,-0.5010898683652227,47.7
IN,21,20.20282362298669,19.311578001931906,48.4
IN,63,5.36886060847086,4.7588998156616436,48.4
IN,21,13.951802862837482,14.730454869516553,31.8
IN,63,10.18300416742164,17.763659689094748,31.8
IN,21,-2.784048156508667,-0.7804920045071051,28.3
IN,63,41.34687735139202,44.675350679660106,28.3
IN,21,5.6956392761791985,7.194669136092957,45.2
IN,63,-22.426579649955503,-18.9822526400937,45.2
IN,21,8.374581939799342,10.403467858100745,21.7
IN,63,8.294314381270906,14.018338098288563,21.7
IN,21,8.582696463982531,16.86584902382612,33.0
IN,63,10.643702234798692,17.60682716988059,33.0
IN,21,-2.9904547102178936,-2.9904547102178936,46.3
IN,63,12.785452495066242,16.172004956187237,46.3
IN,21,9.600209356630952,11.057670870454052,34.7
IN,63,-3.3980191641839186,1.8401375841852525,34.7
IN,21,23.112931538911653,22.412130398977425,37.7
IN,63,66.93973083674665,66.51918146303082,37.7
IN,21,5.615251299826696,6.57268051009734,45.9
IN,63,18.405545927209708,26.08155685702271,45.9
IN,21,-6.44216691068814,-6.24544559921274,44.1
IN,63,18.66764275256223,20.863978794100824,44.1
IN,21,5.225806451612902,5.225806451612902,41.5
IN,63,47.35483870967742,49.36892420756008,41.5
IN,21,-5.485398579321233,-4.639285411685068,53.1
IN,63,18.666140489344897,22.04573241618454,53.1
IN,21,16.104868913857672,17.19217361263806,35.6
IN,63,-15.823970037453172,-6.145399255875395,35.6
IN,21,55.746677091477736,54.78003683333712,44.3
IN,63,32.57753453218661,32.91401623922826,44.3
IN,21,-1.2536564981195153,-0.475004491440445,35.8
IN,63,10.718763058921855,17.90891430815134,35.8
IN,21,16.319444444444443,16.319444444444443,40.4
IN,63,7.002314814814814,9.01640031269747,40.4
IN,21,-6.535038932146831,-5.688925764510667,43.3
IN,63,-4.8164627363737615,-1.4368708095341192,43.3
IN,21,-1.5182601559294184,-1.520117666219356,39.6
IN,63,-3.628583152588072,-2.7178780463018803,39.6
IN,21,3.4923955902470327,3.024589640366404,45.5
IN,63,10.251870926209051,9.463734492362597,45.5
IN,21,-2.5352822580645085,-2.3385609465891077,51.6
IN,63,-7.651209677419358,-3.598709334541983,51.6
IN,21,1.7207957830301046,3.3658788387722627,24.2
IN,63,0.9896276143513072,10.497835754124196,24.2
IN,21,0.304936765744368,1.207493952001426,43.3
IN,63,-7.726134685754649,0.12668307130417933,43.3
IN,21,4.39073587148362,5.742741234373727,41.3
IN,63,8.66981234016495,12.008672656993157,41.3
IN,21,11.764180703529558,11.76232319323962,34.6
IN,63,28.62924825903219,31.550362115961107,34.6
IN,21,-8.50673194614443,-4.439543343922493,36.3
IN,63,17.03386372909017,24.905735258121396,36.3
IN,21,14.00774139554346,13.413637833064506,45.3
IN,63,26.540433099696624,25.68839340321265,45.3
IN,21,-12.436974789915967,-12.00325606844882,54.8
IN,63,-14.403361344537814,-10.95648257298173,54.8
IN,21,-7.126908993480397,-7.126908993480397,43.1
IN,63,-6.823256229347152,-4.1471037415853225,43.1
IN,21,4.780942861902382,5.710617697123643,50.7
IN,63,2.232217224720978,6.5118427869096385,50.7
IN,21,6.6237575362555035,6.621900025965566,44.5
IN,63,22.1932540329151,25.114367889844015,44.5
