Product,Contract,PreviousDaySettlementPrice
ODAX,ODAX SI 20270618 CS EU P 20800 0,411.8
ODAX,ODAX SI 20260731 CS EU P 23600 0,44.5
ODAX,ODAX SI 20260918 CS EU P 18200 0,16.8
ODAX,ODAX SI 20260821 CS EU C 23750 0,2018.3
ODAX,ODAX SI 20260703 CS EU P 23700 0,0.1
ODAX,ODAX SI 20260918 CS EU C 23750 0,2159.1
ODAX,ODAX SI 20280915 CS EU C 28400 0,2196.1
ODAX,ODAX SI 20260703 CS EU C 25775 0,6.2
ODAX,ODAX SI 20260731 CS EU P 27200 0,1596.1
ODAX,ODAX SI 20260731 CS EU C 26150 0,155.5
ODAX,ODAX SI 20260717 CS EU C 20900 0,4689.5
ODAX,ODAX SI 20260807 CS EU C 26100 0,233.8
ODAX,ODAX SI 20280616 CS EU C 26800 0,2725.3
ODAX,ODAX SI 20261218 CS EU P 24200 0,586.6
ODAX,ODAX SI 20260724 CS EU C 22500 0,3112.6
ODAX,ODAX SI 20260724 CS EU C 23350 0,2274.1
ODAX,ODAX SI 20281215 CS EU P 28600 0,3304
ODAX,ODAX SI 20281215 CS EU C 23600 0,5261.3
ODAX,ODAX SI 20270618 CS EU P 25300 0,1290
ODAX,ODAX SI 20280616 CS EU P 24400 0,1573.6
ODAX,ODAX SI 20260821 CS EU C 27150 0,76.7
ODAX,ODAX SI 20260918 CS EU P 21800 0,75.9
ODAX,ODAX SI 20270618 CS EU P 16200 0,138.2
ODAX,ODAX SI 20290316 CS EU C 26200 0,3818.6
ODAX,ODAX SI 20291221 CS EU C 18400 0,10027.5
ODAX,ODAX SI 20280616 CS EU C 20800 0,6888.2
ODAX,ODAX SI 20291221 CS EU P 15600 0,503
ODAX,ODAX SI 20260918 CS EU C 27250 0,156
ODAX,ODAX SI 20260717 CS EU P 18400 0,0.2
ODAX,ODAX SI 20271217 CS EU P 28000 0,2778.2
ODAX,ODAX SI 20260710 CS EU P 28050 0,
ODAX,ODAX SI 20290615 CS EU C 22200 0,6682.3
ODAX,ODAX SI 20281215 CS EU P 24000 0,1635.9
ODAX,ODAX SI 20291221 CS EU C 29000 0,3134.9
ODAX,ODAX SI 20260703 CS EU P 25625 0,95.7
ODAX,ODAX SI 20260821 CS EU C 27000 0,96.6
ODAX,ODAX SI 20260807 CS EU C 22300 0,3349.2
ODAX,ODAX SI 20270917 CS EU P 23500 0,989
ODAX,ODAX SI 20270917 CS EU C 27100 0,1642.2
ODAX,ODAX SI 20261218 CS EU C 20700 0,5293
ODAX,ODAX SI 20260918 CS EU P 27350 0,1773.7
ODAX,ODAX SI 20270917 CS EU P 18400 0,318.4
ODAX,ODAX SI 20271217 CS EU C 16600 0,10001.7
ODAX,ODAX SI 20261218 CS EU P 21100 0,196.8
ODAX,ODAX SI 20260717 CS EU P 18000 0,0.1
ODAX,ODAX SI 20260717 CS EU P 26950 0,1364.6
ODAX,ODAX SI 20260710 CS EU C 25150 0,488.6
ODAX,ODAX SI 20260807 CS EU C 23250 0,2424.6
ODAX,ODAX SI 20260918 CS EU C 27850 0,
ODAX,ODAX SI 20270319 CS EU C 28500 0,461.9
ODAX,ODAX SI 20281215 CS EU P 38000 0,10176.9
ODAX,ODAX SI 20280915 CS EU P 29200 0,3566.5
ODAX,ODAX SI 20270618 CS EU P 22300 0,599.8
ODAX,ODAX SI 20261218 CS EU C 13000 0,12753.2
ODAX,ODAX SI 20270917 CS EU C 15600 0,10761.3
ODAX,ODAX SI 20260717 CS EU C 25550 0,292.3
ODAX,ODAX SI 20260821 CS EU P 16200 0,3.1
ODAX,ODAX SI 20260703 CS EU P 25575 0,65.9
ODAX,ODAX SI 20290316 CS EU P 19000 0,776.5
ODAX,ODAX SI 20260807 CS EU C 27400 0,21.5
ODAX,ODAX SI 20260731 CS EU C 25400 0,515.8
ODAX,ODAX SI 20270618 CS EU C 14000 0,12130.8
ODAX,ODAX SI 20280915 CS EU C 23000 0,5455.9
ODAX,ODAX SI 20260710 CS EU P 23450 0,3
ODAX,ODAX SI 20260703 CS EU P 23775 0,0.1
